項次,路段,編號,工務段及分駐所,行政區,溪流名稱
1,內灣線K27+500~K27+650,竹縣DF028,臺北工務段,新竹縣橫山鄉內灣村,頭前溪流域
2,內灣線K27+750~K28+000,竹縣DF027,臺北工務段,新竹縣橫山鄉內灣村,頭前溪流域
3,縱貫線K119+450~K119+600,苗縣DF001,臺中工務段,苗栗縣竹南鎮崎頂里,三姓公溪
4,臺中線K155+570~K155+790,苗縣DF028,臺中工務段,苗栗縣銅鑼鄉樟樹村,西湖溪
5,集集線K3+900~K4+200,彰縣DF008,嘉義工務段,彰化縣二水鄉倡和村,源泉
6,集集線K6+200~K6+700,彰縣DF004,嘉義工務段,彰化縣二水鄉倡和村,九九巢
7,集集線K26+100~K26+300,投縣DF157,嘉義工務段,南投縣水里鄉新城村,濁水溪支流
8,集集線K28+400~K28+600,投縣DF215,嘉義工務段,南投縣水里鄉水里村,濁水溪支流
9,南迴線K9+400~K9+600,屏縣DF042,高雄工務段,屏東縣獅子鄉內獅村,南勢湖溪
10,北迴線K5+250~K5+600,宜縣DF112,宜蘭工務段,宜蘭縣蘇澳鎮永樂里,白米河
11,北迴線K3+350,宜縣DF108,宜蘭工務段,宜蘭縣蘇澳鎮永春里,蘇澳溪
12,北迴線K1+600~K1+810,宜縣DF105,宜蘭工務段,宜蘭縣蘇澳鎮聖愛里,蘇澳溪
13,宜蘭線K52+700~K52+800,宜縣DF019,宜蘭工務段,宜蘭縣頭城鎮外澳里,巷內坑
14,宜蘭線K45+450~K45+600,宜縣DF012,宜蘭工務段,宜蘭縣頭城鎮合興里,巷內坑
15,宜蘭線K45+350~K45+450,宜縣DF011,宜蘭工務段,宜蘭縣頭城鎮合興里,巷內坑
16,宜蘭線K45+000~K45+200,宜縣DF140,宜蘭工務段,宜蘭縣頭城鎮合興里,巷內坑
17,宜蘭線K39+800~K39+900,宜縣DF008,宜蘭工務段,宜蘭縣頭城鎮大里里,巷內坑
18,平溪線K0+900~K1+000,新北DF163,宜蘭工務段,新北市瑞芳區碩仁里,大武崙溪
19,宜蘭線K13+900~K14+000,新北DF165,宜蘭工務段,新北市瑞芳區光復里,大武崙溪
20,宜蘭線K13+200~K13+310,新北DF166,宜蘭工務段,新北市瑞芳區光復里,大武崙溪
21,深澳線K2+950~K3+050,基市DF034,宜蘭工務段,基隆市中正區砂子里,北海岸沿海河系一
22,北迴線K42+800~K43+500,花縣DF166,花蓮工務段,花蓮縣秀林鄉和平村,良里溪
23,北迴線K43+600~K43+900,花縣DF026,花蓮工務段,花蓮縣秀林鄉和平村,良里溪
24,北迴線K46+940,花縣DF025,花蓮工務段,花蓮縣秀林鄉和平村,新和仁溪
25,北迴線K50+934,花縣DF024,花蓮工務段,花蓮縣秀林鄉崇德村,大清水溪
26,臺東線K56+700,花縣DF031,花蓮工務段,花蓮縣萬榮鄉馬遠村,富源溪
27,南迴線K32+000~K32+200,東縣DF090,臺東工務段,臺東縣達仁鄉安朔村,尚武
28,南迴線K32+500~K32+700,東縣DF090,臺東工務段,臺東縣達仁鄉安朔村,尚武
29,南迴線K40+600~K40+700,東縣DF101,臺東工務段,臺東縣大武鄉尚武村,尚武
30,南迴線K43+700~K43+900,東縣DF100,臺東工務段,臺東縣大武鄉大鳥村,茶茶牙頓
31,南迴線K50+730~K50+800,東縣DF093,臺東工務段,臺東縣大武鄉大竹村,大鳥沿海
32,南迴線K51+800~K51+950,東縣DF092,臺東工務段,臺東縣大武鄉大竹村,加津林溪
33,南迴線K52+350~K52+400,東縣DF091,臺東工務段,臺東縣大武鄉大竹村,大鳥沿海
34,南迴線K53+000~K53+100,東縣DF165,臺東工務段,臺東縣大武鄉大竹村,大鳥沿海
35,南迴線K57+050~K57+100,東縣DF119,臺東工務段,臺東縣太麻里鄉多良村,布拉布拉溪
36,南迴線K57+750~K57+800,東縣DF120,臺東工務段,臺東縣太麻里鄉多良村,布拉布拉溪
37,南迴線K60+650~K60+700,東縣DF121,臺東工務段,臺東縣太麻里鄉多良村,布拉布拉溪
38,南迴線K73+000~K73+200,東縣DF082,臺東工務段,臺東縣金峰鄉正興村,正興
39,南迴線K78+500~K78+700,東縣DF124,臺東工務段,臺東縣太麻里鄉華源村,正興
40,臺東線K76+500,花縣DF065,臺東工務段,花蓮縣玉里鎮大禹里,無名野溪
41,臺東線K79+720,東縣DF013,臺東工務段,臺東縣海端鄉海端村,無名野溪
42,臺東線K142+400,東縣DF071,臺東工務段,臺東縣卑南鄉嘉豐村,卑南溪流域
43,臺東線K143+000~K143+200,東縣DF070,臺東工務段,臺東縣卑南鄉嘉豐村,卑南溪流域
44,臺東線K145+190~K145+250,東縣DF040,臺東工務段,臺東縣卑南鄉明峰村,卑南溪流域
45,臺東線K145+950~K146+050,東縣DF039,臺東工務段,臺東縣卑南鄉明峰村,卑南溪流域
46,臺東線K149+400~K149+500,東縣DF127,臺東工務段,臺東縣臺東市岩灣里,卑南溪流域
47,臺東線K147+160,東縣DF071,臺東工務段,臺東縣卑南鄉嘉豐村,無名野溪
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
