Section_ID,Section_Name,Max_QPEGC_1H,Max_QPF_1H
KHC001,三民區(1),44.0,0.2
KHC002,三民區(2),46.0,0.8
KHC003,三民區(3),41.5,0.1
KHC004,三民區(4),42.25,0.3
KHC005,三民區(5),41.5,0.2
KHC006,仁武區(1),29.0,2.4
KHC007,仁武區(2),26.25,1.6
KHC008,仁武區(3),28.25,5.9
KHC009,仁武區(4),39.0,1.9
KHC010,仁武區(5),41.5,1.4
KHC011,前金區(1),32.25,0.1
KHC012,前鎮區(1),6.0,0.0
KHC013,前鎮區(2),27.75,0.0
KHC014,大寮區(1),13.0,4.8
KHC015,大寮區(2),9.5,8.0
KHC016,大寮區(3),4.5,23.4
KHC017,大樹區(1),31.75,21.6
KHC018,大樹區(2),21.75,31.4
KHC019,大社區(1),13.0,8.8
KHC020,大社區(2),21.0,7.2
KHC021,小港區(1),0.75,6.1
KHC022,小港區(2),5.5,28.6
KHC023,岡山區(1),3.25,3.1
KHC024,岡山區(2),6.5,4.8
KHC025,岡山區(3),5.5,2.9
KHC026,岡山區(4),10.75,3.7
KHC027,左營區(1),33.75,0.5
KHC028,彌陀區(1),16.5,15.6
KHC029,新興區(1),42.75,0.1
KHC030,新興區(2),29.5,0.0
KHC031,旗山區(1),0.5,2.0
KHC032,旗山區(2),1.0,2.1
KHC033,旗津區(1),19.5,0.0
KHC034,林園區(1),8.5,27.9
KHC035,林園區(2),6.25,30.2
KHC036,梓官區(1),15.25,3.5
KHC037,梓官區(2),13.75,3.2
KHC038,梓官區(3),14.0,1.9
KHC039,梓官區(4),16.25,7.8
KHC040,楠梓區(1),16.0,1.3
KHC041,楠梓區(2),22.75,0.9
KHC042,橋頭區(1),7.75,1.3
KHC043,永安區(1),8.0,11.9
KHC044,永安區(2),13.0,11.3
KHC045,永安區(3),12.0,10.3
KHC046,湖內區(1),6.25,0.6
KHC047,燕巢區(2),9.75,12.3
KHC048,田寮區(1),1.25,1.2
KHC049,美濃區(1),0.0,1.0
KHC050,苓雅區(1),32.0,0.2
KHC051,苓雅區(2),17.75,0.1
KHC052,苓雅區(3),16.25,0.1
KHC053,茄萣區(1),2.25,0.5
KHC054,路竹區(1),6.25,2.8
KHC055,路竹區(2),13.25,3.0
KHC056,阿蓮區(1),1.25,2.9
KHC057,阿蓮區(2),2.5,1.9
KHC058,鳥松區(1),50.75,1.8
KHC059,鳥松區(2),46.0,8.8
KHC060,鳥松區(3),39.75,2.8
KHC061,鳥松區(4),37.0,15.4
KHC062,鳥松區(5),45.75,7.0
KHC063,鳳山區(1),16.5,0.1
KHC064,鳳山區(2),30.0,1.2
KHC065,鳳山區(3),29.0,0.2
KHC066,鳳山區(4),47.0,1.4
KHC067,鹽埕區(1),34.5,0.1
KHC068,鼓山區(1),35.75,0.4
KHC069,鼓山區(2),31.75,0.1
KHC070,鼓山區(3),43.75,0.4
