item_num,num_code,institution,section_name,section_name2,stid,stname,QPEGC_1H_max,QPEGC_1H_ave,QPEGC_3H_ave,QPEGC_6H_ave,QPEGC_12H_ave,QPEGC_24H_ave,QPEGC_72H_ave,alarm_level
001,0101,第三區養護工程處,第二號橋(臺24線35K+915M~35K+941M),隘寮北溪支流,THBbr001,第二號橋,40.0,NULL,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
001,0101,第三區養護工程處,第二號橋(臺24線35K+915M~35K+941M),隘寮北溪支流,THBbr001,第二號橋,NULL,40.0,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
001,0101,第三區養護工程處,第二號橋(臺24線35K+915M~35K+941M),隘寮北溪支流,THBbr001,第二號橋,NULL,NULL,999.0,NULL,NULL,NULL,NULL,PRE-WARNING
001,0101,第三區養護工程處,第二號橋(臺24線35K+915M~35K+941M),隘寮北溪支流,THBbr001,第二號橋,NULL,NULL,NULL,999.0,NULL,NULL,NULL,PRE-WARNING
001,0101,第三區養護工程處,第二號橋(臺24線35K+915M~35K+941M),隘寮北溪支流,THBbr001,第二號橋,NULL,NULL,NULL,NULL,999.0,NULL,NULL,PRE-WARNING
001,0101,第三區養護工程處,第二號橋(臺24線35K+915M~35K+941M),隘寮北溪支流,THBbr001,第二號橋,NULL,NULL,NULL,NULL,NULL,999.0,NULL,PRE-WARNING
001,0101,第三區養護工程處,第二號橋(臺24線35K+915M~35K+941M),隘寮北溪支流,THBbr001,第二號橋,NULL,NULL,NULL,NULL,NULL,NULL,999.0,PRE-WARNING
002,0102,第三區養護工程處,唯金溪橋(臺20線109K+157M~109K+205M),唯金溪,THBbr002,唯金溪橋,40.0,NULL,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
002,0102,第三區養護工程處,唯金溪橋(臺20線109K+157M~109K+205M),唯金溪,THBbr002,唯金溪橋,NULL,40.0,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
002,0102,第三區養護工程處,唯金溪橋(臺20線109K+157M~109K+205M),唯金溪,THBbr002,唯金溪橋,NULL,NULL,999.0,NULL,NULL,NULL,NULL,PRE-WARNING
002,0102,第三區養護工程處,唯金溪橋(臺20線109K+157M~109K+205M),唯金溪,THBbr002,唯金溪橋,NULL,NULL,NULL,999.0,NULL,NULL,NULL,PRE-WARNING
002,0102,第三區養護工程處,唯金溪橋(臺20線109K+157M~109K+205M),唯金溪,THBbr002,唯金溪橋,NULL,NULL,NULL,NULL,999.0,NULL,NULL,PRE-WARNING
002,0102,第三區養護工程處,唯金溪橋(臺20線109K+157M~109K+205M),唯金溪,THBbr002,唯金溪橋,NULL,NULL,NULL,NULL,NULL,999.0,NULL,PRE-WARNING
002,0102,第三區養護工程處,唯金溪橋(臺20線109K+157M~109K+205M),唯金溪,THBbr002,唯金溪橋,NULL,NULL,NULL,NULL,NULL,NULL,999.0,PRE-WARNING
003,0201,第二區養護工程處,大觀橋(臺14線74K+423M~74K+447M),眉溪,THBbr003,大觀橋,40.0,NULL,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
003,0201,第二區養護工程處,大觀橋(臺14線74K+423M~74K+447M),眉溪,THBbr003,大觀橋,NULL,40.0,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
003,0201,第二區養護工程處,大觀橋(臺14線74K+423M~74K+447M),眉溪,THBbr003,大觀橋,NULL,NULL,999.0,NULL,NULL,NULL,NULL,PRE-WARNING
003,0201,第二區養護工程處,大觀橋(臺14線74K+423M~74K+447M),眉溪,THBbr003,大觀橋,NULL,NULL,NULL,999.0,NULL,NULL,NULL,PRE-WARNING
003,0201,第二區養護工程處,大觀橋(臺14線74K+423M~74K+447M),眉溪,THBbr003,大觀橋,NULL,NULL,NULL,NULL,999.0,NULL,NULL,PRE-WARNING
003,0201,第二區養護工程處,大觀橋(臺14線74K+423M~74K+447M),眉溪,THBbr003,大觀橋,NULL,NULL,NULL,NULL,NULL,999.0,NULL,PRE-WARNING
003,0201,第二區養護工程處,大觀橋(臺14線74K+423M~74K+447M),眉溪,THBbr003,大觀橋,NULL,NULL,NULL,NULL,NULL,NULL,999.0,PRE-WARNING
004,0301,第四區養護工程處,則前橋(左)(臺7甲線24K+607M~24K+663M),夫布爾溪,THBbr004,則前橋(左),40.0,NULL,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
004,0301,第四區養護工程處,則前橋(左)(臺7甲線24K+607M~24K+663M),夫布爾溪,THBbr004,則前橋(左),NULL,40.0,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
004,0301,第四區養護工程處,則前橋(左)(臺7甲線24K+607M~24K+663M),夫布爾溪,THBbr004,則前橋(左),NULL,NULL,999.0,NULL,NULL,NULL,NULL,PRE-WARNING
004,0301,第四區養護工程處,則前橋(左)(臺7甲線24K+607M~24K+663M),夫布爾溪,THBbr004,則前橋(左),NULL,NULL,NULL,999.0,NULL,NULL,NULL,PRE-WARNING
004,0301,第四區養護工程處,則前橋(左)(臺7甲線24K+607M~24K+663M),夫布爾溪,THBbr004,則前橋(左),NULL,NULL,NULL,NULL,999.0,NULL,NULL,PRE-WARNING
004,0301,第四區養護工程處,則前橋(左)(臺7甲線24K+607M~24K+663M),夫布爾溪,THBbr004,則前橋(左),NULL,NULL,NULL,NULL,NULL,999.0,NULL,PRE-WARNING
004,0301,第四區養護工程處,則前橋(左)(臺7甲線24K+607M~24K+663M),夫布爾溪,THBbr004,則前橋(左),NULL,NULL,NULL,NULL,NULL,NULL,999.0,PRE-WARNING
005,0401,第一區養護工程處,高義橋(臺7線37K+620M~37K+647M),寶里苦溪,THBbr005,高義橋,40.0,NULL,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
005,0401,第一區養護工程處,高義橋(臺7線37K+620M~37K+647M),寶里苦溪,THBbr005,高義橋,NULL,40.0,NULL,NULL,NULL,NULL,NULL,PRE-WARNING
005,0401,第一區養護工程處,高義橋(臺7線37K+620M~37K+647M),寶里苦溪,THBbr005,高義橋,NULL,NULL,999.0,NULL,NULL,NULL,NULL,PRE-WARNING
005,0401,第一區養護工程處,高義橋(臺7線37K+620M~37K+647M),寶里苦溪,THBbr005,高義橋,NULL,NULL,NULL,999.0,NULL,NULL,NULL,PRE-WARNING
005,0401,第一區養護工程處,高義橋(臺7線37K+620M~37K+647M),寶里苦溪,THBbr005,高義橋,NULL,NULL,NULL,NULL,999.0,NULL,NULL,PRE-WARNING
005,0401,第一區養護工程處,高義橋(臺7線37K+620M~37K+647M),寶里苦溪,THBbr005,高義橋,NULL,NULL,NULL,NULL,NULL,999.0,NULL,PRE-WARNING
005,0401,第一區養護工程處,高義橋(臺7線37K+620M~37K+647M),寶里苦溪,THBbr005,高義橋,NULL,NULL,NULL,NULL,NULL,NULL,999.0,PRE-WARNING
